data,estacao,linha,n_passageiros
05/00,Cinelândia,1,606103
05/00,Gloria,1,226576
05/00,Catete,1,249149
05/00,Largo do Machado,1,482701
05/00,Flamengo,1,353951
05/00,Botafogo,1,901423
05/00,Cardeal Arcoverde,1,571659
05/00,Sao Cristovao,2,235684
05/00,Maracana,2,134847
05/00,Triagem,2,96712
05/00,Maria da Graca,2,184756
05/00,Del Castilho,2,158111
05/00,Inhauma,2,123834
05/00,Engenho da Rainha,2,125508
05/00,Tomas Coelho,2,50937
05/00,Vicente de Carvalho,2,224239
05/00,Iraja,2,178227
05/00,Colegio,2,102312
05/00,Coelho Neto,2,97775
05/00,Acari/Fazenda Botafogo,2,72443
05/00,Engenheiro Rubens Paiva,2,77149
